system,language,granularity,ref_grade,ref_clusters,ref_entities,axis,technique,metric,value,projection,source,tier
eshop,cs,target,GT-doc,9,19,A2,sdk_role,a2a,86.81,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,sdk_role,mojofm,40.0,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,dir_leaf,a2a,80.22,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,dir_leaf,mojofm,93.87,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,dir_top,a2a,99.61,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,dir_top,mojofm,98.46,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,edge_cc,a2a,84.71,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,edge_cc,mojofm,47.28,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,hand_curation,a2a,99.61,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,hand_curation,mojofm,98.46,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,none,a2a,84.01,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,none,mojofm,96.94,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,propose_all,a2a,97.87,common-a2,a2-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A2,propose_all,mojofm,98.31,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,dir_leaf,a2a,74.33,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,dir_leaf,mojofm,8.33,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,dir_top,a2a,74.33,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,dir_top,mojofm,8.33,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,edge_cc,a2a,78.72,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,edge_cc,mojofm,27.78,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,hand_curation,a2a,75.53,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,hand_curation,mojofm,11.11,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,none,a2a,75.53,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,none,mojofm,11.11,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,propose_all,a2a,73.12,common-a2,a2-ablation.json,oss
libxml2,cpp,file,GT-pub,18,82,A2,propose_all,mojofm,5.56,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,det_curation,a2a,100.0,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,det_curation,mojofm,100.0,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,dir_leaf,a2a,80.2,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,dir_leaf,mojofm,37.5,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,dir_top,a2a,79.17,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,dir_top,mojofm,34.38,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,edge_cc,a2a,76.51,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,edge_cc,mojofm,28.12,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,hand_curation,a2a,90.23,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,hand_curation,mojofm,71.88,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,name,a2a,81.76,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,name,mojofm,40.62,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,name_segment,a2a,98.9,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,name_segment,mojofm,96.88,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,none,a2a,80.2,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,none,mojofm,37.5,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,propose_all,a2a,89.6,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,propose_all,mojofm,71.88,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,sdk_role,a2a,77.84,common-a2,a2-ablation.json,oss
nopcommerce,cs,target,GT-doc,17,37,A2,sdk_role,mojofm,31.25,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,dir_leaf,a2a,86.63,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,dir_leaf,mojofm,92.08,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,dir_top,a2a,100.0,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,dir_top,mojofm,100.0,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,edge_cc,a2a,81.37,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,edge_cc,mojofm,25.41,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,hand_curation,a2a,100.0,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,hand_curation,mojofm,100.0,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,none,a2a,100.0,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,none,mojofm,100.0,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,propose_all,a2a,87.0,common-a2,a2-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A2,propose_all,mojofm,48.29,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,det_curation,a2a,100.0,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,det_curation,mojofm,100.0,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,dir_leaf,a2a,67.63,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,dir_leaf,mojofm,11.58,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,dir_top,a2a,82.78,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,dir_top,mojofm,38.42,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,edge_cc,a2a,79.0,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,edge_cc,mojofm,24.21,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,hand_curation,a2a,91.68,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,hand_curation,mojofm,72.11,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,name,a2a,79.98,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,name,mojofm,24.74,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,name_segment,a2a,75.32,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,name_segment,mojofm,21.58,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,none,a2a,67.63,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,none,mojofm,11.58,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,propose_all,a2a,91.13,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,propose_all,mojofm,69.47,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,sdk_role,a2a,81.9,common-a2,a2-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A2,sdk_role,mojofm,35.79,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,dir_leaf,a2a,92.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,dir_leaf,mojofm,70.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,dir_top,a2a,73.44,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,dir_top,mojofm,10.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,edge_cc,a2a,69.84,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,edge_cc,mojofm,0.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,hand_curation,a2a,95.83,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,hand_curation,mojofm,70.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,name,a2a,71.88,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,name,mojofm,0.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,name_segment,a2a,91.43,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,name_segment,mojofm,60.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,none,a2a,92.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,none,mojofm,70.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,propose_all,a2a,86.76,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,propose_all,mojofm,50.0,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,sdk_role,a2a,73.44,common-a2,a2-ablation.json,oss
squidex,cs,target,GT-exp,12,15,A2,sdk_role,mojofm,10.0,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,0,edge_f1,0.8973,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,0,edges,102,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,1,edge_f1,0.8973,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,1,edges,102,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,3,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,3,edges,83,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,5,edge_f1,0.9816,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,5,edges,80,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,8,edge_f1,0.9753,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A3,8,edges,79,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,0,edge_f1,0.7907,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,0,edges,26,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,1,edge_f1,0.7907,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,1,edges,26,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,3,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,3,edges,17,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,5,edge_f1,0.9375,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,5,edges,15,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,8,edge_f1,0.9375,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A3,8,edges,15,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,0,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,0,edges,30,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,0,edges_ref,14,edge-vs-reference,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,0,f1_ref,1.0,edge-vs-reference,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,0,precision_ref,1.0,edge-vs-reference,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,0,recall_ref,1.0,edge-vs-reference,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,1,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,1,edges,30,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,1,edges_ref,14,edge-vs-reference,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,1,f1_ref,1.0,edge-vs-reference,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,1,precision_ref,1.0,edge-vs-reference,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,1,recall_ref,1.0,edge-vs-reference,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A3,3,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
