system,language,granularity,ref_grade,ref_clusters,ref_entities,axis,technique,metric,value,projection,source,tier
P-1,cpp,file,GT-diag,28,50-100,fidelity,dir,clusters,86.0,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,dir,clusters,199.0,pairwise,dir-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,dir,mojofm,91.28,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,dir,mojofm,91.28,pairwise,dir-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,limbo,a2a,81.2823,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,limbo,a2a,81.2823,pairwise,limbo-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,limbo,clusters,18.0,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,limbo,clusters,27.0,pairwise,limbo-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,limbo,mojofm,22.53,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,limbo,mojofm,22.53,pairwise,limbo-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,pipeline,a2a,100.0,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,pipeline,clusters,27.0,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,pipeline,mojofm,100.0,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,wca,a2a,78.3709,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,wca,a2a,78.3709,pairwise,wca-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,wca,clusters,2.0,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,wca,clusters,27.0,pairwise,wca-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,wca,mojofm,12.94,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,wca,mojofm,12.94,pairwise,wca-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,perf,curate,wall_clock_s,0.078,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,perf,drift,wall_clock_s,0.0,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,perf,enrich,wall_clock_s,0.016,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,perf,extract,wall_clock_s,100.812,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,perf,generate,wall_clock_s,0.078,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,perf,normalize,wall_clock_s,9.172,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,perf,validate-curated,wall_clock_s,0.125,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,perf,validate-extracted,wall_clock_s,0.297,n/a,run-report.json,P
